7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;GOAL
0;0;2;0;0;0;0;0;0;0;0;0;0
3;1;7;0.43;0;0;3;0.33;0;0;3;1;10
4;1;0;0;0;0;3;0;0;0;2;1;6
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;4;0.75;0;0;6;0.67;7
0;0;1;1;0;0;2;0.5;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;1;1;0;0;2;0;0;0;1;1;4
0;0;0;0;0;0;2;1;0;0;1;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0
4;0.75;0;0;0;0;2;0.5;0;0;2;1;6
0;0;0;0;0;0;4;0.5;2;1;2;1;6
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;0;0;5;0.8;1;1;0;0;6
0;0;0;0;0;0;2;1;0;0;2;1;4
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;5;0.6;0;0;2;1;5
0;0;0;0;0;0;4;0.25;0;0;0;0;1
0;0;0;0;0;0;1;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;0;0;3;1;0;0;0;0;4
1;1;2;0.5;0;0;1;1;0;0;1;1;4
2;1;0;0;0;0;3;0.33;0;0;0;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;4;1;1;1;1;1;6
0;0;1;1;0;0;2;0.5;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;1;0;4;1;0;0;0;0;4
0;0;1;0;0;0;4;1;0;0;1;0;4
0;0;0;0;0;0;4;0.5;0;0;1;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;0;0;0;0;1;1;0;0;0;0;4
0;0;0;0;0;0;3;0.67;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;1;2;1;3
0;0;0;0;0;0;3;0.67;0;0;1;1;3
0;0;0;0;0;0;1;1;0;0;1;1;2
0;0;0;0;0;0;0;0;0;0;0;0;0
